file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\util\ByteUtil.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.ByteUtil,class,1,21,20,1,6,1,0,3,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,2,3,0,0,0,0,1,4,0,3,1,0,0,0,15,17,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\detect\DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,class,6,7,1,6,8,2,0,9,1,0.64285713,0.4,0.4,7,1,6,1,0,0,6,0,0,0,2,1,0,2,0,0,2,0,2,36,3,0,1,0,0,0,1,4,0,4,1,0,0,0,54,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-serialization\src\main\java\org\apache\tika\metadata\serialization\JsonFetchEmitTuple.java,org.apache.tika.metadata.serialization.JsonFetchEmitTuple,class,12,20,8,12,38,1,0,46,24,0.75,0.1,0.1,8,8,3,3,0,2,5,0,0,0,14,14,10,4,0,0,14,0,14,181,6,2,11,2,0,25,7,61,8,41,3,0,0,0,92,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\metadata\filter\ExcludeFieldMetadataFilter.java,org.apache.tika.metadata.filter.ExcludeFieldMetadataFilter,class,3,3,0,3,5,3,0,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,17,0,1,0,0,0,0,0,1,0,1,1,0,0,0,16,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\streamobj\ObjectGroupDataElementData.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.streamobj.ObjectGroupDataElementData,class,7,13,6,7,7,2,0,9,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,4,129,2,0,2,0,0,0,0,12,1,8,1,0,1,0,45,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-pipes\tika-emitters\tika-emitter-opensearch\src\main\java\org\apache\tika\pipes\emitter\opensearch\OpenSearchClient.java,org.apache.tika.pipes.emitter.opensearch.OpenSearchClient$UpsertMetadataToJsonWriter,innerclass,5,5,0,5,7,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,53,3,0,3,3,0,14,1,6,0,6,2,0,0,0,25,10,0
C:\Users\jprov\Documents\ck\target\tika\tika-batch\src\main\java\org\apache\tika\batch\fs\StreamOutRPWFSConsumer.java,org.apache.tika.batch.fs.StreamOutRPWFSConsumer$WriteoutRPWHandler,innerclass,8,8,0,8,5,2,0,5,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,27,0,0,0,2,0,0,0,2,0,2,1,0,0,0,32,10,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-pdf-module\src\main\java\org\apache\tika\parser\pdf\PDFEncodedStringDecoder.java,org.apache.tika.parser.pdf.PDFEncodedStringDecoder$COSStringParser,innerclass,3,3,0,3,4,2,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,1,1,0,0,0,1,0,1,2,0,0,0,22,8,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\test\java\org\apache\tika\utils\CharsetUtilsTest.java,org.apache.tika.utils.CharsetUtilsTest,class,2,2,0,2,4,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,34,0,0,0,0,0,35,0,0,0,0,0,0,0,0,19,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-code-module\src\test\java\org\apache\tika\parser\code\SourceCodeParserTest.java,org.apache.tika.parser.code.SourceCodeParserTest,class,9,10,1,9,15,2,0,19,8,0.375,0.47619048,0.47619048,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,55,1,0,1,1,0,35,7,13,0,12,1,0,0,0,73,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\util\BitWriter.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.BitWriter,class,5,18,13,5,12,1,0,11,22,0.625,0.04761905,0.04761905,8,0,7,1,0,0,7,0,0,0,2,0,0,2,0,0,1,0,6,48,2,2,1,0,0,1,7,9,2,9,2,0,0,0,74,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\pipes\PipesReporterBase.java,org.apache.tika.pipes.PipesReporterBase$ExcludesFilter,innerclass,2,2,0,2,2,2,0,1,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,10,0
C:\Users\jprov\Documents\ck\target\tika\tika-example\src\main\java\org\apache\tika\example\ImportContextImpl.java,org.apache.tika.example.ImportContextImpl,class,10,11,1,10,33,1,0,19,49,0.8000001,0.2857143,1.0,15,0,14,1,0,0,14,0,0,0,8,1,0,8,0,0,6,0,0,95,12,0,13,1,4,2,2,15,0,11,2,0,0,0,105,1,1
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\chm\ChmParsingException.java,org.apache.tika.parser.microsoft.chm.ChmParsingException,class,1,13,12,1,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-pipes\tika-emitters\tika-emitter-solr\src\test\java\org\apache\tika\pipes\emitter\solr\SolrEmitterDevTest.java,org.apache.tika.pipes.emitter.solr.SolrEmitterDevTest,class,5,5,0,5,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,6,0,7,0,7,0,0,0,0,47,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-pipes\tika-pipes-iterators\tika-pipes-iterator-csv\src\test\java\TestCSVPipesIterator.java,TestCSVPipesIterator$MockFetcher,innerclass,1,1,0,1,4,1,0,3,0,0.25,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,16,1,1,1,0,0,0,1,3,0,3,2,0,0,0,25,10,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\pipes\fetcher\FetcherStringException.java,org.apache.tika.pipes.fetcher.FetcherStringException,class,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
